match_id,away_prob,away_prob_min,away_prob_max,model
12207,0.5490349999999999,0.32592,0.77215,of_pk
12208,0.585015,0.39743,0.7726,of_pk
12209,0.50873,0.30239,0.71507,of_pk
12210,0.810935,0.68405,0.93782,of_pk
12211,0.66071,0.47364,0.84778,of_pk
12212,0.491055,0.31719,0.66492,of_pk
12213,0.57769,0.39677,0.75861,of_pk
12214,0.5075700000000001,0.26312,0.75202,of_pk
12215,0.5431900000000001,0.3657,0.72068,of_pk
12216,0.645605,0.45333,0.83788,of_pk
12217,0.450155,0.24573,0.65458,of_pk
12218,0.598455,0.381,0.81591,of_pk
12219,0.59555,0.40719,0.78391,of_pk
12220,0.37626499999999996,0.18285,0.56968,of_pk
12221,0.4699,0.27079,0.66901,of_pk
12222,0.557205,0.34274,0.77167,of_pk
12223,0.510355,0.32063,0.70008,of_pk
12224,0.421595,0.22906,0.61413,of_pk
12225,0.53393,0.2859,0.78196,of_pk
12226,0.58147,0.35574,0.8072,of_pk
12227,0.51274,0.32457,0.70091,of_pk
12228,0.54781,0.34276,0.75286,of_pk
12229,0.566495,0.37862,0.75437,of_pk
12230,0.5872850000000001,0.38944,0.78513,of_pk
12231,0.73244,0.55447,0.91041,of_pk
12232,0.57535,0.40437,0.74633,of_pk
12233,0.619425,0.42799,0.81086,of_pk
12234,0.464985,0.25398,0.67599,of_pk
12235,0.489455,0.30659,0.67232,of_pk
12236,0.5608949999999999,0.37054,0.75125,of_pk
12237,0.542905,0.35523,0.73058,of_pk
12238,0.516425,0.27345,0.7594,of_pk
12239,0.569725,0.37962,0.75983,of_pk
12240,0.45033500000000004,0.23772,0.66295,of_pk
12241,0.592435,0.39784,0.78703,of_pk
12242,0.582935,0.39475,0.77112,of_pk
12243,0.271485,0.13853,0.40444,of_pk
12244,0.61347,0.40785,0.81909,of_pk
12245,0.529825,0.3191,0.74055,of_pk
12246,0.563125,0.34567,0.78058,of_pk
12247,0.52974,0.27294,0.78654,of_pk
12248,0.68435,0.51656,0.85214,of_pk
12249,0.50265,0.31688,0.68842,of_pk
12250,0.53946,0.33951,0.73941,of_pk
12251,0.53812,0.31466,0.76158,of_pk
12252,0.6113850000000001,0.43569,0.78708,of_pk
12253,0.515475,0.31048,0.72047,of_pk
12254,0.7855650000000001,0.64217,0.92896,of_pk
12255,0.414595,0.21324,0.61595,of_pk
12256,0.44142000000000003,0.24209,0.64075,of_pk
12257,0.32188,0.1512,0.49256,of_pk
12258,0.524795,0.34146,0.70813,of_pk
12259,0.599415,0.40343,0.7954,of_pk
12260,0.456365,0.25922,0.65351,of_pk
12261,0.519425,0.29637,0.74248,of_pk
12262,0.619795,0.43008,0.80951,of_pk
12263,0.5773699999999999,0.39942,0.75532,of_pk
12264,0.55425,0.3477,0.7608,of_pk
12265,0.566305,0.36362,0.76899,of_pk
12266,0.5939,0.38372,0.80408,of_pk
12267,0.44659499999999996,0.24889,0.6443,of_pk
12268,0.57731,0.36172,0.7929,of_pk
12269,0.610785,0.39378,0.82779,of_pk
12270,0.72297,0.55241,0.89353,of_pk
12271,0.57787,0.39157,0.76417,of_pk
12272,0.49076,0.27118,0.71034,of_pk
12273,0.47936,0.3122,0.64652,of_pk
12274,0.6903,0.52131,0.85929,of_pk
12275,0.44889500000000004,0.24801,0.64978,of_pk
12276,0.46314,0.26031,0.66597,of_pk
12277,0.426175,0.24612,0.60623,of_pk
12278,0.577735,0.40768,0.74779,of_pk
12279,0.6499550000000001,0.48626,0.81365,of_pk
12280,0.388025,0.1239,0.65215,of_pk
12281,0.50479,0.285,0.72458,of_pk
12282,0.39143,0.20452,0.57834,of_pk
12283,0.555655,0.35598,0.75533,of_pk
12284,0.58817,0.4208,0.75554,of_pk
12285,0.32750500000000005,0.13067,0.52434,of_pk
12286,0.40507000000000004,0.13907,0.67107,of_pk
12287,0.45097,0.2645,0.63744,of_pk
